Role,Name,C,C++,Problem Solving Skills,Python,ML,AI,Pandas,SQL,Statistics,Debugging
Data Scientist,Wendy Reid,4,1,4,5,5,0,5,3,4,3
Data Scientist,Spencer Morrison PhD,3,3,4,4,5,5,5,0,5,0
Data Scientist,Crystal Arnold DDS,3,2,4,5,4,3,5,2,5,3
Data Scientist,Timothy King,3,1,4,5,4,0,5,4,4,3
Data Scientist,Felicia Logan,3,4,5,4,5,2,5,3,5,0
Data Scientist,Vanessa May,3,2,4,4,5,1,5,5,4,0
Data Scientist,Daniel Johnson,2,1,4,4,4,5,5,4,5,0
Data Scientist,Stephanie Davis,1,2,4,5,4,0,4,2,4,5
Data Scientist,Brent Mack,3,3,4,4,5,4,5,4,4,4
Data Scientist,Melissa Rivera,1,5,4,4,5,0,4,3,4,4
Data Scientist,Teresa Schaefer,4,5,4,4,5,3,5,5,4,5
Data Scientist,Natalie Leonard,1,5,5,4,5,0,4,1,5,0
Data Scientist,Courtney Hawkins,3,5,4,5,4,0,5,2,5,4
Data Scientist,Tanner Harrington PhD,2,1,4,5,4,0,4,2,5,2
Data Scientist,Joshua Jones,1,2,5,5,4,0,4,1,4,2
Data Scientist,Erica Murphy,3,2,4,5,5,1,4,1,4,2
Data Scientist,Brian Dougherty,4,0,4,4,4,0,5,3,4,0
Data Scientist,Christopher Pope,1,4,4,4,5,2,4,1,4,1
Data Scientist,Timothy Miller,0,0,4,4,4,2,5,4,5,4
Data Scientist,Christina Thornton,3,5,4,4,4,2,4,5,4,5
Data Scientist,David Day,2,0,5,4,4,0,4,0,5,2
Data Scientist,Deborah Hughes,3,5,4,5,4,2,4,5,5,0
Data Scientist,Benjamin Cook,2,4,4,4,5,1,5,5,4,4
Data Scientist,Ryan Weiss,2,4,4,4,4,0,4,5,4,1
Data Scientist,Jose Lee,2,4,4,5,4,3,5,3,5,3
Data Scientist,Pamela Sweeney,3,5,5,4,4,1,4,1,5,5
Data Scientist,Eric Willis,3,4,5,4,5,4,4,1,4,1
Data Scientist,Jeremiah Rocha,0,4,4,5,4,1,4,3,5,2
Data Scientist,Jennifer Mcintyre,4,3,4,4,4,2,4,3,5,1
Data Scientist,Jennifer Nelson,5,5,5,4,5,2,4,0,5,2
Data Scientist,Justin Rodriguez,0,5,5,4,5,1,5,1,5,4
Data Scientist,Aaron Wilkinson,5,5,5,5,4,5,5,3,4,4
Data Scientist,Lauren Walters,0,1,4,4,5,5,5,1,4,2
Data Scientist,Matthew Bryan,2,5,5,5,5,2,5,1,4,2
Data Scientist,William Ross,0,4,5,4,4,4,4,2,5,0
Data Scientist,Jeremy Smith,0,5,5,5,5,5,5,0,5,5
Data Scientist,Michael Moody,5,2,5,4,4,5,5,4,5,5
Data Scientist,Jared Johnson,0,2,4,4,4,1,5,4,5,0
Data Scientist,Kevin Jackson,5,5,4,4,4,5,4,1,5,1
Data Scientist,Carol Grant,4,3,4,5,5,2,4,4,4,2
Data Scientist,Heather Morris,3,1,5,4,5,5,4,1,4,5
Data Scientist,William Rivera,4,3,4,4,5,4,5,0,5,5
Data Scientist,Thomas West,4,0,5,5,5,3,5,5,5,3
Data Scientist,Kenneth Carpenter,5,0,4,5,5,0,4,4,4,5
Data Scientist,James Valenzuela,5,2,5,4,4,4,5,4,4,4
Data Scientist,Joseph Kim,4,4,5,4,5,0,5,5,5,1
Data Scientist,Roger Wright,1,2,5,5,5,5,5,5,5,5
Data Scientist,Keith Greer,3,3,5,4,5,5,5,0,5,0
Data Scientist,Joy French,0,2,4,5,4,3,5,4,5,5
Data Scientist,Jennifer Clark,4,1,5,5,5,1,5,5,4,5
Data Scientist,William Perry,5,3,5,4,4,4,5,4,4,3
Data Scientist,Richard Kirk,5,4,4,5,4,3,5,1,4,0
Data Scientist,Chad Barrett,4,5,5,5,5,3,5,0,4,0
Data Scientist,Angelica Phillips,3,4,4,5,5,4,5,3,4,1
Data Scientist,Mary Barton,4,1,4,5,5,4,5,4,4,0
Data Scientist,Tiffany Gibson,0,5,4,4,5,4,4,1,4,3
Data Scientist,James Johnson,5,3,4,4,5,4,4,5,4,2
Data Scientist,Jody Lee,2,0,4,4,4,1,4,3,4,3
Data Scientist,Gregory Hodge,4,4,4,4,5,0,4,5,5,5
Data Scientist,Brandon Moore,2,4,4,4,5,2,5,5,4,0
Data Scientist,Vincent Johnson,4,4,5,5,5,5,5,2,4,1
Data Scientist,Melissa Houston,3,4,4,4,5,4,5,2,4,3
Data Scientist,Austin Weaver,1,4,5,5,5,1,4,2,5,5
Data Scientist,Tracy Davis,2,5,5,5,4,4,5,1,4,5
Data Scientist,Jim Ruiz,2,1,4,5,5,2,5,4,4,0
Data Scientist,Emily Malone,2,3,5,5,4,4,5,1,4,2
Data Scientist,Nicole Harris,5,2,5,4,5,3,4,2,5,2
Data Scientist,Robert Myers,2,2,4,4,5,3,4,3,5,3
Data Scientist,Christine Pearson,2,3,5,4,4,4,5,5,5,4
Data Scientist,Daniel Elliott,2,4,5,4,4,3,5,4,4,1
Data Scientist,George Hammond,2,1,4,5,5,2,5,2,5,4
Data Scientist,Dana Torres,5,0,4,5,5,5,4,1,5,4
Data Scientist,Jamie Burns,0,3,5,5,5,0,4,0,4,1
Data Scientist,Victoria Perez DDS,3,1,5,4,4,3,4,2,5,1
Data Scientist,Kyle Taylor,0,4,4,4,5,3,5,4,5,2
Data Scientist,Jared Garcia,2,3,5,5,5,0,4,3,4,3
Data Scientist,Casey Coleman,4,5,4,4,5,1,5,1,5,5
Data Scientist,Jacob Cunningham,1,3,4,5,5,2,5,2,5,5
Data Scientist,Charles Henderson,2,2,5,5,4,2,4,1,5,1
Data Scientist,Michael Schmidt,5,4,5,5,5,1,4,3,5,0
Data Scientist,Kenneth Howell,0,1,5,4,5,3,4,1,4,0
Data Scientist,Steven Lucas,0,0,5,5,5,3,4,1,5,2
Data Scientist,Tonya Hobbs,0,2,5,5,5,2,4,4,5,1
Data Scientist,Samuel Morgan,1,5,5,5,4,1,5,2,4,2
Data Scientist,Chase Morrison,1,0,5,4,5,5,4,3,5,1
Data Scientist,Rodney Thompson,4,4,5,4,5,0,4,3,4,0
Data Scientist,Larry Martin,5,5,5,4,4,5,4,0,5,5
Data Scientist,Hayley Arnold,0,4,4,4,5,4,5,5,4,2
Data Scientist,Micheal Walsh,0,2,4,5,5,2,4,3,4,3
Data Scientist,Makayla Johnson,3,0,5,4,5,2,5,4,4,4
Data Scientist,Tyler Mccann,1,5,4,5,5,2,5,0,4,0
Data Scientist,Steven White,1,1,5,4,5,5,4,0,4,3
Data Scientist,James Cabrera,3,0,4,5,5,1,4,5,4,2
Data Scientist,Cody Mckinney,1,0,4,4,4,4,4,0,5,5
Data Scientist,John Holland,3,2,5,4,5,0,4,2,5,5
Data Scientist,Nathan Williams,3,2,4,4,5,3,4,3,4,5
Data Scientist,Wayne Levy,5,1,5,4,4,2,4,3,5,4
Data Scientist,Cody Mcintosh,2,3,5,4,4,4,5,2,4,3
Data Scientist,Matthew Davis,2,0,5,5,5,1,5,0,4,5
Data Scientist,Michelle Powell,0,2,5,5,4,5,4,1,4,0
Tester,Michael West,3,1,5,3,0,0,1,0,2,4
Tester,Allen Davis,1,2,5,4,3,3,1,2,3,4
Tester,Kayla Green,3,3,5,0,2,0,3,4,3,5
Tester,Adam Fitzgerald,1,2,5,4,2,3,1,2,3,5
Tester,Crystal Gibson,5,1,5,0,0,1,0,0,1,5
Tester,Amanda Herring,5,2,4,0,2,2,0,3,2,5
Tester,Janet Day,0,1,5,2,2,1,3,4,5,5
Tester,Melissa Knight,3,2,4,3,1,3,0,4,2,4
Tester,Haley White,3,2,5,0,1,3,0,4,4,4
Tester,William Bauer,5,4,4,3,2,1,2,1,3,5
Tester,Kimberly Sullivan,1,2,5,2,0,5,1,1,1,4
Tester,Melissa Wagner,0,1,4,0,2,1,2,3,4,5
Tester,Michael Howell,4,4,4,3,0,4,0,4,4,4
Tester,Jordan Johnson,0,0,5,2,0,2,3,3,5,4
Tester,Kirsten Green,4,3,4,1,2,0,2,1,5,5
Tester,Chad Sullivan,4,3,5,4,1,0,2,1,1,5
Tester,Kimberly Butler,3,1,5,1,0,1,2,1,3,5
Tester,Raymond Lee,0,4,4,2,2,0,1,0,1,5
Tester,Jimmy Thompson,5,3,4,0,2,0,3,3,0,5
Tester,Sarah Thomas,1,2,4,4,3,3,2,4,2,4
Tester,Ryan Ibarra,2,1,4,3,2,2,0,3,2,5
Tester,Randall Fox,3,3,5,4,3,4,1,4,4,4
Tester,Theresa Wolfe MD,2,4,4,3,2,4,0,0,2,5
Tester,Eric Willis,4,0,5,1,1,4,2,1,5,5
Tester,Lori Reilly,3,3,5,0,1,4,3,4,0,5
Tester,Cathy Weaver,3,1,5,0,1,1,3,4,4,4
Tester,Pamela Bowman MD,4,0,4,0,0,1,1,4,5,4
Tester,Karen Green,0,1,4,3,0,5,0,2,1,5
Tester,Keith Wilson,1,0,4,2,1,0,2,0,4,4
Tester,Steven Gardner,4,4,4,4,0,5,2,2,1,4
Tester,Heather Rivers,4,4,5,3,3,1,1,0,4,5
Tester,Matthew Terry,4,4,5,0,0,2,0,2,2,5
Tester,Carla Evans MD,4,4,5,2,0,5,1,0,4,5
Tester,Danielle Michael,4,3,4,2,1,4,3,2,2,4
Tester,Glenda Bruce,4,2,4,2,2,5,3,2,1,5
Tester,Chelsea Mcknight,1,4,4,0,3,1,0,4,3,5
Tester,David Calderon,3,2,5,2,1,5,3,3,5,4
Tester,Heather Hanson,5,0,5,4,3,2,3,3,5,5
Tester,Olivia Young,3,2,4,0,3,2,3,1,2,5
Tester,Cynthia Mccall,0,0,5,0,1,4,0,3,3,5
Tester,Shawna Richardson,4,4,4,1,0,2,3,1,3,5
Tester,Brandon Fisher,5,2,5,0,0,5,2,2,5,5
Tester,Jennifer Fowler,2,1,5,4,1,5,3,1,5,4
Tester,Aaron Chen,5,2,4,1,1,5,1,2,1,5
Tester,Heather Fowler,0,4,5,3,0,2,3,3,1,5
Tester,Melissa Pugh,4,4,4,1,1,0,2,4,3,4
Tester,Jessica Ross,5,1,5,4,1,4,0,4,4,5
Tester,Carol Fowler,2,4,5,4,2,3,2,0,4,5
Tester,Brenda Roach,2,4,5,3,3,1,1,1,2,5
Tester,Jason Mcdonald,3,1,4,4,2,5,2,0,5,5
Tester,Sally Stanley,5,2,5,2,3,1,2,3,2,5
Tester,Mary Gonzalez,3,3,5,1,0,5,1,4,5,5
Tester,Vicki Mendez,3,4,4,4,2,1,2,3,2,5
Tester,Kevin Monroe,4,3,5,1,1,0,0,1,0,4
Tester,Nathaniel Keith,1,4,5,3,2,0,3,0,5,4
Tester,Penny Estes,3,3,4,2,0,3,2,3,3,4
Tester,Michael Nunez,5,2,5,3,1,1,2,4,4,4
Tester,James Gilbert,4,4,5,2,1,5,2,4,1,5
Tester,Sherry Hogan,3,3,4,3,3,2,2,2,0,4
Tester,Mrs. Melinda Clark,2,0,5,0,3,1,1,0,0,4
Tester,Shawn Holt,2,2,5,4,1,4,2,3,2,4
Tester,Scott Moore,1,3,5,0,0,4,0,3,5,5
Tester,Nicholas Howard,2,4,4,4,3,4,1,4,3,4
Tester,Geoffrey Taylor,2,0,5,2,0,3,0,2,4,5
Tester,Rebecca Stewart,5,2,5,0,1,2,1,4,2,4
Tester,James Taylor,1,1,4,1,2,0,1,4,1,5
Tester,Keith Patrick,4,0,5,0,3,3,1,1,3,4
Tester,Kevin Sullivan,0,0,4,3,0,0,3,1,5,4
Tester,Christian Perry,5,3,5,4,0,0,3,3,1,5
Tester,Susan George,1,2,5,3,1,4,1,3,1,4
Tester,Thomas Thompson,3,4,5,4,0,5,3,4,5,5
Tester,Christopher Cole,2,3,5,2,2,2,3,3,1,5
Tester,Michelle Powell,4,2,4,2,1,4,1,1,2,5
Tester,Alex Zimmerman,3,1,4,4,0,2,0,0,2,5
Tester,Sarah Woodard,3,4,5,2,3,5,3,1,5,5
Tester,Derrick Larsen,1,2,5,2,3,1,1,2,5,4
Tester,Walter Williams,3,1,4,3,0,1,2,4,3,5
Tester,Gary Schwartz,2,0,4,2,0,0,0,3,0,4
Tester,Alexander Reyes,4,1,5,2,2,2,1,2,2,5
Tester,Stephanie Perkins,0,1,4,2,0,0,3,2,3,5
Tester,Ronald Franklin,0,1,4,4,1,1,3,1,2,4
Tester,Rodney Davidson,5,4,4,1,0,3,2,3,4,5
Tester,Tiffany Fowler,1,2,5,0,2,4,2,4,5,4
Tester,Patrick Austin,2,3,4,2,0,5,1,3,3,4
Tester,Erik Hawkins,5,0,4,3,1,3,1,4,0,4
Tester,Matthew Robbins,5,2,4,0,2,2,0,2,2,5
Tester,David Flores,3,3,4,1,0,3,3,4,4,4
Tester,Victoria Thomas,4,0,5,0,2,0,2,4,5,4
Tester,Zachary Palmer,3,2,5,2,0,4,2,4,5,5
Tester,Kenneth Guzman,3,2,4,2,0,2,0,4,2,5
Tester,Tiffany Hancock,5,2,5,1,2,2,3,3,0,5
Tester,Kimberly Blair,5,3,5,2,2,3,0,1,2,5
Tester,Autumn Hernandez,1,4,5,0,2,3,0,3,4,4
Tester,Karen Parker,2,1,4,1,3,0,1,3,5,5
Tester,Paul Cook,0,2,4,2,0,2,1,3,0,5
Tester,Tracy Harper,5,1,4,1,3,3,2,3,4,5
Tester,Gregory Bush,5,1,4,3,1,1,0,0,0,4
Tester,David Palmer,1,3,4,4,2,4,2,0,4,4
Tester,April Bowers,2,0,4,4,1,3,0,0,0,5
Tester,Judith Powell,4,4,5,3,3,0,3,1,2,4
